ID [],Local [],Irradiance [W/m^2],T_ambient [Degrees Celsius],T_ground [Degrees Celsius],Wind [m/s],Cloud [okta],Pressure [Pa],Rain [mm/hr],Diffuse [W/m^2],Direct [W/m^2],Elevation [Degrees],Azimuth [Degrees]
1,0000-01-01 00:30:00,0.01,3.384,1.97,4.821,5.705,101556.821,0.03,0.01,0,-59.798,20.675
2,0000-01-01 01:30:00,0.005,3.349,1.907,4.795,5.364,101561.383,0.084,0.005,0,-54.787,44.647
3,0000-01-01 02:30:00,0.01,3.165,1.846,4.765,5.383,101553.274,0.143,0.01,0,-47.316,63.225
4,0000-01-01 03:30:00,0.028,3.182,1.801,4.971,5.746,101551.339,0.147,0.028,0,-38.614,77.931
5,0000-01-01 04:30:00,0.005,3.021,1.73,4.803,4.922,101539.682,0.1,0.005,0,-29.439,90.405
6,0000-01-01 05:30:00,0,2.897,1.711,4.987,5.065,101538.074,0.184,0,0,-20.267,101.789
7,0000-01-01 06:30:00,0,2.767,1.688,4.944,5.272,101555.582,0.061,0,0,-11.46,112.845
8,0000-01-01 07:30:00,0.37,2.781,1.652,4.821,6.138,101585.677,0.076,0.37,0,-3.348,124.108
9,0000-01-01 08:30:00,15.015,3.093,1.627,4.802,6.373,101599.912,0.083,14.083,0.932,3.722,135.965
10,0000-01-01 09:30:00,48.833,3.544,1.656,4.779,6.165,101611.986,0.077,41.486,7.347,9.371,148.64
11,0000-01-01 10:30:00,79.976,4.087,1.725,5.221,6.093,101588.169,0.109,61.465,18.511,13.219,162.153
12,0000-01-01 11:30:00,103.785,4.513,1.745,5.472,5.876,101557.054,0.094,75.786,27.998,14.952,176.268
13,0000-01-01 12:30:00,103.171,4.656,1.952,5.688,6.185,101514.702,0.029,75.907,27.265,14.408,190.519
14,0000-01-01 13:30:00,82.617,4.654,2.089,5.703,6.374,101494.103,0.075,60.168,22.449,11.641,204.396
15,0000-01-01 14:30:00,41.807,4.623,2.219,5.379,6.102,101491.984,0.096,34.128,7.68,6.893,217.526
16,0000-01-01 15:30:00,6.849,4.355,2.359,5.096,6.203,101484.703,0.204,6.386,0.464,0.524,229.798
17,0000-01-01 16:30:00,0.005,4.151,2.474,5.11,5.964,101475.947,0.225,0.005,0,-7.085,241.34
18,0000-01-01 17:30:00,0.014,4.075,2.596,5.347,6.275,101458.898,0.123,0.014,0,-15.566,252.455
19,0000-01-01 18:30:00,0.01,3.966,2.499,5.531,6.216,101450.005,0.103,0.01,0,-24.585,263.597
20,0000-01-01 19:30:00,0.005,3.934,2.421,5.653,6.285,101444.798,0.176,0.005,0,-33.803,275.395
21,0000-01-01 20:30:00,0,3.885,2.36,5.924,6.378,101435.725,0.243,0,0,-42.818,288.772
22,0000-01-01 21:30:00,0,3.754,2.303,5.737,6.498,101430.525,0.147,0,0,-51.042,305.1
23,0000-01-01 22:30:00,0,3.577,2.227,5.655,6.529,101426.654,0.237,0,0,-57.512,326.142
